Protein_Pair	Protein1	Protein2	Score	P_Value
('P02545', 'P31146')	P02545	P31146	1.0	0.0
('P00558', 'P31146')	P00558	P31146	0.88	0.0
('P06454', 'P31146')	P06454	P31146	0.88	0.0
('P09104', 'P13796')	P09104	P13796	0.88	0.0
('P11142', 'P52566')	P11142	P52566	0.88	0.0
('P13639', 'Q14247')	P13639	Q14247	0.88	0.0
('P24534', 'P31146')	P24534	P31146	0.88	0.0
('P26641', 'Q14247')	P26641	Q14247	0.88	0.0
('P61254', 'Q06830')	P61254	Q06830	0.88	0.0
('P62701', 'Q14247')	P62701	Q14247	0.88	0.0
('P62829', 'Q14247')	P62829	Q14247	0.88	0.0
('O43175', 'P13796')	O43175	P13796	0.88	0.0
('P06748', 'P25815')	P06748	P25815	0.88	0.0
('P06748', 'Q8NC51')	P06748	Q8NC51	0.88	0.0
('P07305', 'P52566')	P07305	P52566	0.88	0.0
